SO_line,CustomerNo,SalesOrderNo,CustomerName,LineKey,ItemCode,ItemCodeDesc,SO Header,PROM DATE,UDF_MATERIALS_CLEAR_DATE,EXP DATE,Exp DATE,Qty,QuantityShipped,UnitPrice,Production Notes,QtyOnHand,RMANumber,DropShip,Comments
0016484_000002,ELESIA,16484,Elesia S.p.A.,2,262500001673-01,"TRC3001 3U, MB (No GPU)",4/9/2021,4/9/2021,4/1/2021,4/8/2021,4/8/2021,1,0,5405,PSP NS (SOH 4/9/2021),1,,0,"SHIPPING, QA, BURN-IN, WIP, KITTING"
0016508_000001,CORPCOM,16508,Corporate Computer Centers,1,262500004222-00,TRC5004 BXT7059 8032 1200W,4/8/2021,2/18/2021,4/1/2021,4/8/2021,4/8/2021,2,0,12650,"PSP 264500001400-00, 92-507059-002, 26-004846-473, DP WA 2-16 (SOH 4/8/2021)",2,,0,"SHIPPING, QA, BURN-IN, WIP, KITTING"
0016508_000002,CORPCOM,16508,Corporate Computer Centers,2,/C,Default Item Code /C,4/8/2021,,4/1/2021,4/8/2021,4/8/2021,0,0,0,PSP DPAS Rating: DO-C9 (SOH 4/8/2021),0,,0,"SHIPPING, QA, BURN-IN, KITTING"
0016559_000005,BECHTLE,16559,Bechtle,5,262500005009-00,TRC1001 2x MSL8256 1200W,4/8/2021,3/4/2021,4/1/2021,4/8/2021,4/8/2021,1,0,18009,"PSP 110500001214-00 NOO, 101500001093-00, 11-002149-001, 101500001093-00, 101500001094-00, 26-004846-558, 263500001533-00 TS/DP WA 3/9 (SOH 4/8/2021)",1,,0,"SHIPPING, QA, FIRST ARTICLE, QA, BURN-IN, WIP, KITTING"
0016559_000007,BECHTLE,16559,Bechtle,7,262500005010-00,TRC1002 MSL8256 1200W,4/8/2021,3/4/2021,4/1/2021,4/8/2021,4/8/2021,1,0,12924,"PSP 26-004846-558, 264500002566-00, 263500001533-00 TS/DP WA 3/9 (SOH 4/8/2021)",1,,0,"SHIPPING, QA, FIRST ARTICLE, QA, BURN-IN, WIP, KITTING"
0016646_000001,EMETCOM,16646,Emet OEM Computing Ltd.,1,92-708700800000,BPG7087 CST,4/8/2021,4/8/2021,4/5/2021,4/9/2021,4/9/2021,23,0,917,NS (SOH 4/8/2021),23,,0,"QA, FCT, WIP, KITTING"
0016677_000002,SMARTDS,16677,"Parraid, LLC",2,92-701500400000,IOB33JX,4/9/2021,4/9/2021,4/7/2021,4/13/2021,4/13/2021,8,0,176,PSP NS,0,,0,"WIP, KITTING"
0016677_000003,SMARTDS,16677,"Parraid, LLC",3,/C,Default Item Code /C,4/9/2021,,4/7/2021,4/13/2021,4/13/2021,0,0,0,PSP NS Best Date,0,,0,KITTING
0016677_000004,SMARTDS,16677,"Parraid, LLC",4,/C,Default Item Code /C,4/9/2021,,4/7/2021,4/13/2021,4/13/2021,0,0,0,PSP NS DPAS Rating: DX-A2,0,,0,KITTING
0016324_000001,RUDOLPH,16324,Onto Innovation Inc.,1,262500003624-00,"(TRS3500) 3U, MB",2/16/2021,12/15/2020,2/9/2021,4/2/2021,4/14/2021,10,3,4250,"PSP Best Date added >110500001074-00, 264500001243-00, 26-004846-461, 111500001061-01, 111500001144-01, (SOH 2/16/2021)",0,,0,"BURN-IN, PARTIAL OF 3 APPROVED TO SHIP BY SALES, SO ON HOLD - CUST REPORTED VIDEO RES ISSUES-COMPLETE, BURN-IN, WIP, KITTED"
