SO_line,CustomerNo,SalesOrderNo,CustomerName,LineKey,ItemCode,ItemCodeDesc,SO Header,PROM DATE,UDF_MATERIALS_CLEAR_DATE,EXP DATE,Exp DATE,Qty,QuantityShipped,UnitPrice,Production Notes,QtyOnHand,RMANumber,DropShip,Comments
0016522_000002,GEORTEC,16522,Georgia Institute of Tech.,2,262500003939-00,TRC2008 MB X10DRi-T 500W,4/29/2021,2/23/2021,4/16/2021,4/23/2021,4/19/2021,1,0,8830,"11-002001-001, 124500001001-00, 264500001619-00, 26-004846-465, 264500001671-00, 264500002455-00 TS/DP WA 2/28 MC UC - reviewing PSP - rto, (SOH 4/29/2021)",0,,0,"BURN-IN, ON HOLD - NEW PS - NEED ECO, SYSTEM CONFIG ISSUES - PS, WIP, KITTING"
0016672_000001,ECRIN,16672,Ecrin Systems,1,92-708700800000,BPG7087 CST,4/16/2021,4/16/2021,4/22/2021,4/27/2021,4/20/2021,1,0,983,NS,1,,0,"WIP, KITTING"
0016672_000002,ECRIN,16672,Ecrin Systems,2,92-814100600000,THD E3-1275v3 4CHT 3.5,4/16/2021,4/16/2021,4/22/2021,4/27/2021,4/20/2021,1,0,1469,26-004846-444 DP WA 4-7 (SOH 4-16/2021),1,,0,"WIP, KITTING"
0016589_000004,TRENSYS,16589,Trenton Systems,4,162500001017-00,"TRC1503-C001, Sanmina SDS0120-",3/9/2021,1/1/2021,4/1/2021,12/31/2021,4/23/2021,4,0,0,"PSP Sanmina KANBAN, PN SDS0120-32908-00",0,,0,"WIP, KANBAN ORDER - BUILD TO STOCK PROGRAM"
0016181_000001,L3COMNJ,16181,"L3 Technologies, Inc. - Camden",1,198500001079-00,TSB+32GB(4X8GB)+Dev,11/24/2020,11/24/2020,3/19/2021,4/9/2021,4/26/2021,300,240,2292,"92-507053-000, 75-507053-C33A, 26-504550-002, 28-008146-001, 13-008147-000, 69-008125-000 TS/DP WA 10/16 (SOH 11/24/2020)",0,,0,"WIP/QA/SHIPPING - ON HOLD - ECO NEEDED, WIP & THERMAL TESTING - RECEIVING PCA's DAILY, KITTING 15 PC'S FOR PROTO FOR THERMAL TEST RUN, L3 CAMDEN - SPECIAL THERMAL PROCESS REQUIRED - SHIP PARTIALS"
0016540_000001,LEIDINC,16540,Leidos - Colorado,1,262500002081-00,"2U, 7053-112, 8219-013",4/28/2021,3/1/2021,4/19/2021,4/26/2021,4/26/2021,2,0,5200,"92-507053-000, 268500001067-01, (SOH 4/28/2021)",0,,0,"BURN-IN, ECO ON 7053 - REWORK, , BURN-IN, WIP, KITTING"
0016582_000001,HONEYNM,16582,"Honeywell - Albuquerque, NM",1,260500001112-00,"Monitor, 24"" LCD, LED Backligh",4/27/2021,4/27/2021,4/20/2021,4/27/2021,4/27/2021,4,0,300,260500001112-00 DP WA 3/9 (SOH 4/27/2021),12,,0,"SHIPIING, QA, KITTING"
0016469_000001,RUDOLPH,16469,Onto Innovation Inc.,1,262500003624-00,"(TRS3500) 3U, MB",4/28/2021,2/2/2021,4/19/2021,5/7/2021,4/28/2021,10,0,4250,"110500001074-00 stk, 13-508218-000 TS/DP WA 2/28 (SOH 4/28/2021)",0,,0,"BURN-IN, WIP, KITTING"
0016519_000003,RUDOLPH,16519,Onto Innovation Inc.,3,263500001145-01,"HDD, 1TB, 2.5"", SATA III, 7200",4/28/2021,4/28/2021,4/19/2021,4/28/2021,4/28/2021,17,0,85,NS (SOH 4/28/2021),45,,0,
0016567_000001,RUDOLPH,16567,Onto Innovation Inc.,1,26-504580-001,"8GB DDR4-2133 DIMM, Reg., ECC",4/28/2021,4/28/2021,4/23/2021,4/28/2021,4/28/2021,30,0,141,26-504580-001 DP WA 3/9 (SOH 4/28/2021),412,,0,
0016528_000001,LOCKCOL,16528,Lockheed Martin - Littleton,1,262500004257-00,THS4095 GEN3EXO 8231 1200W,4/23/2021,4/23/2021,4/22/2021,4/29/2021,4/29/2021,8,0,4100,268500001697-01 use -00 Noah? TS WA 3/1 (SOH 4/23/2021) MC for PS UC - Noah ?,0,,0,"WIP, KITTING"
0016528_000004,LOCKCOL,16528,Lockheed Martin - Littleton,4,262500004255-00,THS4095 SEP8253 8259 1200W Fix,4/23/2021,4/23/2021,4/22/2021,4/29/2021,4/29/2021,8,0,12220,"110500002128-00, 268500001697-01, 92-508259-001, 26-004846-534 TS/DP WA 3/1 (SOH 4/23/2021)",0,,0,"BURN-IN, WIP, CONVERT 8259-037 TO -001, KITTING"
0016600_000003,DAKTRON,16600,"Daktronics, Inc.",3,262500002478-00,TRC5005 TKL8255 8194 1550W,4/30/2021,3/19/2021,4/22/2021,4/29/2021,4/29/2021,1,0,6050,"110500001068-00, 26-004846-527, 111500001147-02 DP WA 3/19 (SOH 4/30/2021)",1,,0,"SHIPPING, QA, BURN-IN, WIP, KITTING"
0016036_000007,IAIELTA,16036,ELTA \ Care of I.A.I.,7,262500003276-00,2025E200-001 Rev E01,1/25/2021,9/16/2020,3/29/2021,4/30/2021,4/30/2021,10,4,32476.62,CHANGE ORDER - USE 10 FROM SO# 14897,0,,0,"CONVERT -100 SYSTEMS TO -200 PER CUSTOMER, - SHIP 4 BY 4/16, 3 BY 5/30 AND LAST 3 BY 6/30"
