SO_line,CustomerNo,SalesOrderNo,CustomerName,LineKey,ItemCode,ItemCodeDesc,SO Header,PROM DATE,UDF_MATERIALS_CLEAR_DATE,EXP DATE,Exp DATE,Qty,QuantityShipped,UnitPrice,Production Notes,QtyOnHand,RMANumber,DropShip,Comments
0016240_000001,LOCKCOL,0016240,Lockheed Martin - Littleton,000001,262500004180-01,TMS4704 MB Z490M i9-9900K 700W,1/25/2021,11/9/2020,1/20/2021,1/29/2021,3/10/2021,16,7,6700,"PSP 126500001143-00, 150500001002-00, (Exact metal - 1/20), 111500001776-00, 107500001084-00, 26-004846-578, 263500001521-00, 264500002467-00, 264500001370-00 TS/DP WA 11/18 (SOH 1/25/2021)",9,,00,"QA, COVER ISSUES - REWORKING,  HAQA, BO ON 1 MTHR BRD, - HI-POT TEST ISSUES AGAIN, CUST SIGNED OFF ON TEMP ISSUES, 3 IN BURN-IN, WIP, ON HOLD-ECO NEW HEATSINK ,CPU TEMP ISSUES  WIP, SHORT NUMEROUS METALW PARTS - VENDOR DELAYS, WIP, MIL CHASSIS, KITTING"
0016142_000001,EMETCOM,0016142,Emet OEM Computing Ltd.,000001,92-705970400000,BXT E5-2450v2 8CHT 2.5,2/1/2021,1/8/2021,3/18/2021,4/2/2021,3/18/2021,50,32,3716,"PSP  - partial 92-507059-000, 26-004846-456 TS/DP WA (SOH 7/26/2021) MC UC (now 11/12 SOH is 2/1/2021)",18,,00,"SHIPPING, QA, 32 SHIPPED, LAST 38, 12 SHIPPED 1/21/21, 12 IN QA 1/21/21, WIP, KIT 12 PCS - SHIP PARTIALS, USE CUSTOMER PROVIDED MEMORY FOR TESTING"
0016551_000002,DYNETEC,0016551,Dynetics Inc.,000002,198500001016-00,"Slide Rails 24-30"" w/Bracket,",3/18/2021,3/3/2021,3/10/2021,3/18/2021,3/18/2021,1,0,100,PSP NS,0,,00,"BURN-IN, WIP, KITTING"
0016551_000003,DYNETEC,0016551,Dynetics Inc.,000003,262500003940-00,RCS2403 JBOF No Drives No HBA,3/18/2021,3/3/2021,3/10/2021,3/18/2021,3/18/2021,1,0,7345,PSP NS,0,,00,"BURN-IN, FCT, WIP, JONNV TESTING, WIP, KITTING"
0016428_000001,HONEYNM,0016428,"Honeywell - Albuquerque, NM",000001,260500001112-00,"Monitor, 24"" LCD, LED Backligh",3/17/2021,1/27/2021,3/12/2021,3/19/2021,3/19/2021,1,0,300,PSP NS (SOH 3/17/2021),6,,00,"QA, BURN-IN, WIP, KITTING"
0016428_000002,HONEYNM,0016428,"Honeywell - Albuquerque, NM",000002,260500001182-00,FQO ErgoVision 65 LCD mount on,3/17/2021,1/27/2021,3/12/2021,3/19/2021,3/19/2021,1,0,795,PSP NS (SOH 3/17/2021),1,,00,"QA, BURN-IN, WIP, KITTING"
0016428_000003,HONEYNM,0016428,"Honeywell - Albuquerque, NM",000003,262500004164-00,TRC4008 TKL8255 6615 860W 2x 4,3/17/2021,1/27/2021,3/12/2021,3/19/2021,3/19/2021,1,0,5250,"PSP 110500001066-01 stk, **124500001001-00, 111500001780-00 TS/DP (SOH 3/17/2021)",2,,00,"QA, BURN-IN, WIP, KITTING"
0016428_000004,HONEYNM,0016428,"Honeywell - Albuquerque, NM",000004,263500001471-00,"HDD 1TB 2.5"" 7mm Seagate Barra",3/17/2021,1/27/2021,3/12/2021,3/19/2021,3/19/2021,1,0,80,PSP NS (SOH 3/17/2021),10,,00,"QA, BURN-IN, WIP, KITTING"
0016428_000005,HONEYNM,0016428,"Honeywell - Albuquerque, NM",000005,198500001016-00,"Slide Rails 24-30"" w/Bracket,",3/17/2021,1/27/2021,3/12/2021,3/19/2021,3/19/2021,1,0,100,PSP NS (SOH 3/17/2021),0,,00,"QA, BURN-IN, WIP, , KITTING"
0016428_000006,HONEYNM,0016428,"Honeywell - Albuquerque, NM",000006,267500001004-00,USB Keyboard and Mouse,3/17/2021,1/27/2021,3/12/2021,3/19/2021,3/19/2021,1,0,30,PSP NS (SOH 3/17/2021),13,,00,"QA, BURN-IN, KITTING"
