SO_line,CustomerNo,SalesOrderNo,CustomerName,LineKey,ItemCode,ItemCodeDesc,SO Header,PROM DATE,UDF_MATERIALS_CLEAR_DATE,EXP DATE,Exp DATE,Qty,QuantityShipped,UnitPrice,Production Notes,QtyOnHand,RMANumber,DropShip,Comments
0016053_000001,IBM,0016053,IBM,000001,198500001262-00,"IBM 16GB DDR4-2666, ECC, DIMM",3/29/2021,3/29/2021,3/29/2021,4/5/2021,4/5/2021,60,0,111,"PSP - rto, IBM CELL, NS - IBM",0,,00,8290 Memory?  IS THIS CORRECT?
0016479_000001,ECRIN,0016479,Ecrin Systems,000001,26-504590-001,"8GB DDR4-2400 DIMM, Reg., ECC,",4/2/2021,4/2/2021,3/29/2021,4/5/2021,4/5/2021,4,0,146,PSP NS (SOH 4/2/2021),285,,00,"QA, WIP, KITTING"
0016479_000002,ECRIN,0016479,Ecrin Systems,000002,92-822803800000,HDB8228-CST,4/2/2021,4/2/2021,3/29/2021,4/5/2021,4/5/2021,2,0,722,PSP NS (SOH 4/2/2021),0,,00,"QA, WIP, KITTING"
0016479_000003,ECRIN,0016479,Ecrin Systems,000003,26-504590-003,"32GB DDR4-2400 DIMM, Reg., ECC",4/2/2021,4/2/2021,3/29/2021,4/5/2021,4/5/2021,8,0,428,PSP NS (SOH 4/2/2021),23,,00,"QA, WIP, KITTING"
0016479_000005,ECRIN,0016479,Ecrin Systems,000005,92-8225207C017A,"HEP E5-2680v4, IPMI, 14CHT 2.4",4/2/2021,4/2/2021,3/29/2021,4/5/2021,4/5/2021,2,0,5337,"PSP 26-004846-486, 13-508218-000, 26-000263-093 4 stk, DP WA 2/10 (SOH 4/2/2021)",0,,00,"QA, KITTING, IPMI REWORK"
0016611_000001,CAPTECG,0016611,Captec Ltd,000001,92-815000900000,BPG8150-CSC,4/13/2021,4/13/2021,3/17/2021,4/7/2021,4/7/2021,1,0,936,"PSP - rto , NS",2,,00,"QA, WIP, , KITTING"
0016484_000002,ELESIA,0016484,Elesia S.p.A.,000002,262500001673-01,"TRC3001 3U, MB (No GPU)",4/9/2021,4/9/2021,4/1/2021,4/8/2021,4/8/2021,1,0,5405,PSP NS (SOH 4/9/2021),1,,00,"QA, BURN-IN, WIP, KITTING"
0016508_000001,CORPCOM,0016508,Corporate Computer Centers,000001,262500004222-00,TRC5004 BXT7059 8032 1200W,4/8/2021,2/18/2021,4/1/2021,4/8/2021,4/8/2021,2,0,12650,"PSP 264500001400-00, 92-507059-002, 26-004846-473, DP WA 2-16 (SOH 4/8/2021)",2,,00,"QA, BURN-IN, WIP, KITTING"
0016517_000002,RUDOLPH,0016517,Onto Innovation Inc.,000002,26-504580-001,"8GB DDR4-2133 DIMM, Reg., ECC",4/8/2021,4/8/2021,4/2/2021,4/8/2021,4/8/2021,9,0,141,NS (SOH 4/8/2021),612,,00,
0016559_000005,BECHTLE,0016559,Bechtle,000005,262500005009-00,TRC1001 2x MSL8256 1200W,4/8/2021,3/4/2021,4/1/2021,4/8/2021,4/8/2021,1,0,18009,"PSP 110500001214-00 NOO, 101500001093-00, 11-002149-001, 101500001093-00, 101500001094-00, 26-004846-558, 263500001533-00 TS/DP WA 3/9 (SOH 4/8/2021)",0,,00,"WIP, KITTING"
0016559_000007,BECHTLE,0016559,Bechtle,000007,262500005010-00,TRC1002 MSL8256 1200W,4/8/2021,3/4/2021,4/1/2021,4/8/2021,4/8/2021,1,0,12924,"PSP 26-004846-558, 264500002566-00, 263500001533-00  TS/DP WA 3/9 (SOH 4/8/2021)",0,,00,"WIP, KITTING"
0016569_000001,VSAT,0016569,ViaSat Inc,000001,262500003926-00,"MiniPC, i3-8100T, 240GB SSD",4/8/2021,3/9/2021,3/29/2021,4/12/2021,4/8/2021,6,0,1574,"PSP 110500002131-01 use -002, 26-004846-566, DP WA 3/9 (SOH 4/8/2021)",6,,00,"QA, BURN-IN, WIP, BO ON CPU's, PREP, KITTING"
0016569_000002,VSAT,0016569,ViaSat Inc,000002,198500002113-00,KIT MINIPC Mounting 2PC Horizo,4/8/2021,3/9/2021,3/29/2021,4/12/2021,4/8/2021,6,0,47,PSP NS (SOH 4/8/2021),6,,00,"QA, BURN-IN, WIP, KITTING"
0016181_000001,L3COMNJ,0016181,"L3 Technologies, Inc. - Camden",000001,198500001079-00,TSB+32GB(4X8GB)+Dev,11/24/2020,11/24/2020,3/19/2021,4/9/2021,4/9/2021,300,0,2292,"92-507053-000, 75-507053-C33A, 26-504550-002, 28-008146-001, 13-008147-000, 69-008125-000 TS/DP WA  10/16 (SOH 11/24/2020)",0,,00,"ON HOLD - ECO NEEDED, WIP & THERMAL TESTING - RECEIVING PCA's DAILY, KITTING 15 PC'S FOR  PROTO FOR THERMAL TEST RUN, L3 CAMDEN - SPECIAL THERMAL PROCESS REQUIRED - SHIP PARTIALS"
0016561_000001,SMARTDS,0016561,"Parraid, LLC",000001,92V7059717S038A,Smartronix BXT Deviation NV St,4/22/2021,4/22/2021,4/13/2021,4/16/2021,4/9/2021,1,0,3189,"26-006835-000 stk, 92-507059-002 stk, 26-004846-423 stk (SOH 4/22/2021)",0,,00,
0016561_000002,SMARTDS,0016561,"Parraid, LLC",000002,26-504540-003,"8GB, DDR3-1600, Mini-RDIMM",4/22/2021,4/22/2021,4/13/2021,4/16/2021,4/9/2021,6,0,95,NS  (SOH 4/22/2021),340,,00,
0016561_000003,SMARTDS,0016561,"Parraid, LLC",000003,92-701500400000,IOB33JX,4/22/2021,4/22/2021,4/13/2021,4/16/2021,4/9/2021,1,0,176,NS  (SOH 4/22/2021),0,,00,
0016518_000001,RUDOLPH,0016518,Onto Innovation Inc.,000001,26-504580-001,"8GB DDR4-2133 DIMM, Reg., ECC",4/21/2021,4/21/2021,4/12/2021,4/13/2021,4/13/2021,20,0,141,NS (SOH 4/21/2021),612,,00,
0016518_000003,RUDOLPH,0016518,Onto Innovation Inc.,000003,263500001144-00,"DVD, SATA Slim Drive (Read Onl",4/21/2021,4/21/2021,4/12/2021,4/13/2021,4/13/2021,12,0,71,NS (SOH 4/21/2021),89,,00,
0016488_000001,UNIV_MI,0016488,Univeristy of Michigan,000001,262500002491-00,THS4086 SEP8253 8228 1200W FIX,4/14/2021,2/15/2021,4/7/2021,4/14/2021,4/14/2021,1,0,7400,"PSP 124500001001-00, 26-004846-550, 111500001144-01 TS/DP WA 2/28 (SOH 4/14/2021)",1,,00,"BURN-IN, WIP, KITTING"
0016618_000001,SESOLCO,0016618,"Sesol Co., Ltd.",000001,92-825500600000,TKL E3-1275v5 4CHT 3.6,4/14/2021,4/14/2021,4/12/2021,4/14/2021,4/14/2021,6,0,1811,PSP 26-004846-509 DP WA 3/18 (SOH 4/14/2021),0,,00,KITTING
0016618_000002,SESOLCO,0016618,"Sesol Co., Ltd.",000002,92-661501000000,BPG6615 RAV,4/14/2021,4/14/2021,4/12/2021,4/14/2021,4/14/2021,6,0,874,PSP NS  (SOH 4/14/2021),1,,00,KITTING
0016445_000001,RUDOLPH,0016445,Onto Innovation Inc.,000001,26-504580-001,"8GB DDR4-2133 DIMM, Reg., ECC",4/15/2021,4/15/2021,4/5/2021,4/15/2021,4/15/2021,15,0,141,26-504580-001 DP WA 2/1 (SOH 4/15/2021),612,,00,
0016252_000012,L3COMM,0016252,"L3 Technologies, Inc.",000012,262500003377-00,"5U SEP8253 x2, 8236 x2, 4210T",2/1/2021,2/5/2021,3/19/2021,3/3/2021,4/16/2021,25,0,13028,"153500001052-00 Delta Concession ECO due?, 92-508236-037 3/19, 268500001075-01 port, 13-708233-000 ok, 26-004846-573 ok, 26-504605-002 ok,, 111500001479-02, 111500001721-00, 11-001765-003, TS/DP (SOH 2/1/2021)",0,,00,"WIP, BO ON 8236, WIP, ECO HEATSINKS -  INCORRECT FAN WIRE ROUTING, PREP, , ON HOLD - ENG, SHORT HEATSINKS, KITTNG  - NEED A CONCESSION ECO FOR FAN ALTERNATE"
0016252_000014,L3COMM,0016252,"L3 Technologies, Inc.",000014,262500003376-00,THS2085 SEP8253 4210T 650W Fix,2/1/2021,2/5/2021,3/19/2021,3/3/2021,4/16/2021,16,0,7187,"11-001780-000, 153500001031-01, 268500001058-01, 11-001998-000 AF, 11-001999-000 AF, 13-708233-000, 92-508253-600, 26-004846-573, 26-504605-002",0,,00,"ON HOLD AFTER BURN-IN, WIP, PREP, WIP, ON HOLD - ENG, KITTING"
0016252_000024,L3COMM,0016252,"L3 Technologies, Inc.",000024,262500003377-00,"5U SEP8253 x2, 8236 x2, 4210T",2/1/2021,2/5/2021,3/19/2021,3/3/2021,4/16/2021,2,0,13028,"153500001052-00 Delta Concession ECO due?, 92-508236-037 3/19, 268500001075-01 port, 13-708233-000 ok, 26-004846-573 ok, 26-504605-002 ok,, 111500001479-02, 111500001721-00, 11-001765-003, TS/DP (SOH 2/1/2021)",0,,00,"BURN-IN, WIP, PREP, ON HOLD- ENG KITTNG  - NEED A CONCESSION ECO FOR FAN ALTERNATE"
0016252_000025,L3COMM,0016252,"L3 Technologies, Inc.",000025,262500003376-00,THS2085 SEP8253 4210T 650W Fix,2/1/2021,2/5/2021,2/19/2021,4/2/2021,4/16/2021,1,0,7187,"PSP, NS - to build 1 - JB/TS/TO",0,,00,"COMPLETE-GIVEN TO ENG FOR TESTING, QA, BURN-IN, WIP, BO ON HS, WIP, KITTED - USE FOR ENG COMPLIANCE TEST"
0016252_000026,L3COMM,0016252,"L3 Technologies, Inc.",000026,262500003377-00,"5U SEP8253 x2, 8236 x2, 4210T",2/1/2021,2/5/2021,2/19/2021,4/2/2021,4/16/2021,1,0,13028,"PSP, NS - to build 1 - JB/TS/TO",0,,00,"COMPLETE - GIVEN TO ENG FOR TESTINGQA, BURN-IN, WIP, BO ON HS, WIP, KITTED - USE FOR ENG COMPLIACNCE TESTING"
